id,name,galaxy,type,period,ra,dec,magU,magB,magV,magR,magI,magJ,magH,magK,magu,magg,magr,magi,magz,magG,magW1,magW2,magW3,magW4
20001,OGLE LMC SC1 14252,LMC,DCEP,1.72829,5 32 57.60,-70 22 35.70,,16.064,15.725,,15.282,,,,,,,,,,,,,
23231,OGLE-LMC-CEP-3061,LMC,DCEP,12.0903122,5 44 16.82,-69 18 14.70,,,14.925,,13.875,,,,,,,,,,,,,
23229,OGLE-LMC-CEP-3058,LMC,DCEP,2.5864689,5 44 14.77,-69 51 39.90,,,16.998,,16.026,,,,,,,,,,,,,
23228,OGLE-LMC-CEP-3057,LMC,DCEP,2.0221146,5 44 14.22,-70 41 13.40,,,15.879,,15.261,,,,,,,,,,,,,
23227,OGLE-LMC-CEP-3056,LMC,DCEP,5.2083222,5 44 9.86,-69 12 30.80,,,15.47,,14.685,,,,,,,,,,,,,
23226,OGLE-LMC-CEP-3055,LMC,DCEP,4.4427043,5 44 2.76,-68 10 7.30,,,15.781,,14.98,,,,,,,,,,,,,
23225,OGLE-LMC-CEP-3054,LMC,DCEP,2.31295,5 44 2.63,-68 49 14.80,,,16.809,,15.943,,,,,,,,,,,,,
23224,OGLE-LMC-CEP-3051,LMC,DCEP,2.3269608,5 43 59.77,-68 51 25.50,,,15.944,,15.209,,,,,,,,,,,,,
23223,OGLE-LMC-CEP-3049,LMC,DCEP,2.0332282,5 43 58.86,-69 29 14.50,,,16.275,,15.438,,,,,,,,,,,,,
23222,OGLE-LMC-CEP-3048,LMC,DCEP,1.8116808,5 43 58.38,-68 54 10.10,,,16.276,,15.578,,,,,,,,,,,,,
23221,OGLE-LMC-CEP-3046,LMC,DCEP,1.6317078,5 43 55.38,-71 44 38.90,,,16.494,,15.798,,,,,,,,,,,,,
23220,OGLE-LMC-CEP-3044,LMC,DCEP,4.0692071,5 43 41.02,-71 15 12.30,,,16.215,,15.254,,,,,,,,,,,,,
23219,OGLE-LMC-CEP-3041,LMC,DCEP,1.0944584,5 43 39.84,-69 44 16.90,,,17.102,,16.389,,,,,,,,,,,,,
23218,OGLE-LMC-CEP-3040,LMC,DCEP,1.8095943,5 43 39.54,-71 59 20.90,,,16.366,,15.642,,,,,,,,,,,,,
23217,OGLE-LMC-CEP-3038,LMC,DCEP,1.9861446,5 43 35.72,-69 7 47.00,,,17.145,,16.249,,,,,,,,,,,,,
23216,OGLE-LMC-CEP-3037,LMC,DCEP,3.083662,5 43 33.96,-69 18 40.60,,,15.755,,14.575,,,,,,,,,,,,,
23215,OGLE-LMC-CEP-3035,LMC,DCEP,1.4771926,5 43 27.31,-69 36 19.90,,,17.012,,16.154,,,,,,,,,,,,,
23230,OGLE-LMC-CEP-3060,LMC,DCEP,2.7044622,5 44 16.77,-69 51 52.40,,,17.454,,16.291,,,,,,,,,,,,,
23232,OGLE-LMC-CEP-3062,LMC,DCEP,2.9428218,5 44 20.55,-72 1 32.60,,,15.837,,15.151,,,,,,,,,,,,,
23213,OGLE-LMC-CEP-3033,LMC,DCEP,1.77029,5 43 14.74,-67 47 26.00,,,16.397,,15.716,,,,,,,,,,,,,
23234,OGLE-LMC-CEP-3064,LMC,DCEP,4.4754433,5 44 21.11,-68 32 57.80,,,16.611,,15.452,,,,,,,,,,,,,
23249,OGLE-LMC-CEP-3090,LMC,DCEP,2.7963328,5 44 51.68,-68 31 54.10,,,15.69,,15.001,,,,,,,,,,,,,
23248,OGLE-LMC-CEP-3088,LMC,DCEP,1.0999959,5 44 47.62,-68 53 22.00,,,17.213,,16.49,,,,,,,,,,,,,
23247,OGLE-LMC-CEP-3087,LMC,DCEP,2.9902581,5 44 46.07,-70 3 6.40,,,16.178,,15.454,,,,,,,,,,,,,
23246,OGLE-LMC-CEP-3085,LMC,DCEP,4.4219554,5 44 40.87,-69 41 45.20,,,16.332,,15.308,,,,,,,,,,,,,
23245,OGLE-LMC-CEP-3084,LMC,DCEP,1.9114845,5 44 40.82,-69 55 13.10,,,16.172,,15.473,,,,,,,,,,,,,
23244,OGLE-LMC-CEP-3081,LMC,DCEP,0.33656,5 44 37.41,-70 28 53.20,,,18.877,,18.206,,,,,,,,,,,,,
23243,OGLE-LMC-CEP-3079,LMC,DCEP,1.0088029,5 44 36.33,-72 9 9.00,,,17.047,,16.468,,,,,,,,,,,,,
23242,OGLE-LMC-CEP-3078,LMC,DCEP,3.6398925,5 44 35.47,-68 36 16.30,,,16.093,,15.263,,,,,,,,,,,,,
23241,OGLE-LMC-CEP-3076,LMC,DCEP,0.6517849,5 44 33.26,-71 29 32.30,,,17.538,,16.928,,,,,,,,,,,,,
23240,OGLE-LMC-CEP-3075,LMC,DCEP,1.3414011,5 44 32.53,-70 1 32.50,,,16.921,,16.127,,,,,,,,,,,,,
23239,OGLE-LMC-CEP-3073,LMC,DCEP,0.4559606,5 44 30.04,-71 22 37.20,,,18.336,,17.662,,,,,,,,,,,,,
23238,OGLE-LMC-CEP-3072,LMC,DCEP,4.2974635,5 44 27.46,-69 31 33.20,,,15.501,,14.635,,,,,,,,,,,,,
23237,OGLE-LMC-CEP-3070,LMC,DCEP,1.5631932,5 44 24.83,-69 58 31.70,,,16.112,,15.683,,,,,,,,,,,,,
23236,OGLE-LMC-CEP-3069,LMC,DCEP,2.5135362,5 44 24.00,-71 5 37.20,,,16.583,,15.785,,,,,,,,,,,,,
23235,OGLE-LMC-CEP-3068,LMC,DCEP,1.7144738,5 44 23.69,-71 37 18.90,,,16.354,,15.677,,,,,,,,,,,,,
23214,OGLE-LMC-CEP-3034,LMC,DCEP,1.183228,5 43 20.57,-71 8 47.80,,,17.005,,16.302,,,,,,,,,,,,,
23212,OGLE-LMC-CEP-3032,LMC,DCEP,2.7190146,5 43 13.91,-71 3 13.40,,,16.742,,15.796,,,,,,,,,,,,,
23251,OGLE-LMC-CEP-3092,LMC,DCEP,4.7099021,5 44 52.03,-68 38 46.20,,,15.546,,14.813,,,,,,,,,,,,,
23193,OGLE-LMC-CEP-3004,LMC,DCEP,1.5239929,5 42 44.14,-68 33 15.40,,,17.159,,16.465,,,,,,,,,,,,,
23191,OGLE-LMC-CEP-3000,LMC,DCEP,0.7056444,5 42 40.71,-71 46 20.10,,,17.301,,16.737,,,,,,,,,,,,,
23190,OGLE-LMC-CEP-2999,LMC,DCEP,5.406423,5 42 38.91,-68 40 14.50,,,15.455,,14.429,,,,,,,,,,,,,
23189,OGLE-LMC-CEP-2996,LMC,DCEP,1.8260389,5 42 32.58,-68 30 36.10,,,17.116,,16.328,,,,,,,,,,,,,
23188,OGLE-LMC-CEP-2994,LMC,DCEP,3.703596,5 42 31.47,-71 4 32.90,,,15.547,,14.469,,,,,,,,,,,,,
23187,OGLE-LMC-CEP-2990,LMC,DCEP,1.285872,5 42 28.49,-69 46 56.40,,,16.424,,15.842,,,,,,,,,,,,,
23186,OGLE-LMC-CEP-2989,LMC,DCEP,1.8831164,5 42 28.19,-71 6 15.60,,,16.427,,15.629,,,,,,,,,,,,,
23185,OGLE-LMC-CEP-2988,LMC,DCEP,0.366206,5 42 26.19,-68 33 55.40,,,18.339,,17.767,,,,,,,,,,,,,
23184,OGLE-LMC-CEP-2985,LMC,DCEP,2.2058674,5 42 23.01,-69 51 22.10,,,15.79,,15.157,,,,,,,,,,,,,
23183,OGLE-LMC-CEP-2984,LMC,DCEP,4.3096326,5 42 22.03,-68 8 38.20,,,14.909,,14.226,,,,,,,,,,,,,
23182,OGLE-LMC-CEP-2982,LMC,DCEP,3.2971106,5 42 21.13,-70 32 40.90,,,15.246,,14.601,,,,,,,,,,,,,
23181,OGLE-LMC-CEP-2978,LMC,DCEP,1.2360706,5 42 16.34,-69 52 38.60,,,16.798,,16.127,,,,,,,,,,,,,
23180,OGLE-LMC-CEP-2976,LMC,DCEP,2.9251105,5 42 15.51,-71 10 53.40,,,16.748,,15.769,,,,,,,,,,,,,
23179,OGLE-LMC-CEP-2975,LMC,DCEP,4.2062552,5 42 15.16,-68 20 55.50,,,14.841,,14.203,,,,,,,,,,,,,
23178,OGLE-LMC-CEP-2973,LMC,DCEP,0.6055532,5 42 12.10,-71 12 8.20,,,17.949,,17.181,,,,,,,,,,,,,
23177,OGLE-LMC-CEP-2972,LMC,DCEP,3.9130763,5 42 11.93,-68 50 19.90,,,15.945,,15.169,,,,,,,,,,,,,
23192,OGLE-LMC-CEP-3003,LMC,DCEP,2.6259978,5 42 44.10,-68 35 11.30,,,16.099,,15.446,,,,,,,,,,,,,
23194,OGLE-LMC-CEP-3005,LMC,DCEP,2.0329849,5 42 45.11,-67 55 15.30,,,15.774,,15.174,,,,,,,,,,,,,
23211,OGLE-LMC-CEP-3030,LMC,DCEP,0.6470252,5 43 12.19,-72 27 38.60,,,17.643,,17.023,,,,,,,,,,,,,
23195,OGLE-LMC-CEP-3006,LMC,DCEP,3.733429,5 42 46.89,-67 51 18.90,,,15.53,,14.905,,,,,,,,,,,,,
23210,OGLE-LMC-CEP-3028,LMC,DCEP,4.783125,5 43 10.49,-69 28 10.80,,,15.553,,14.763,,,,,,,,,,,,,
23209,OGLE-LMC-CEP-3027,LMC,DCEP,3.0133632,5 43 9.10,-69 36 38.90,,,16.372,,15.586,,,,,,,,,,,,,
23208,OGLE-LMC-CEP-3026,LMC,DCEP,1.8349969,5 43 8.53,-71 38 13.50,,,16.29,,15.545,,,,,,,,,,,,,
23207,OGLE-LMC-CEP-3025,LMC,DCEP,0.5686925,5 43 7.63,-71 20 7.60,,,17.517,,16.959,,,,,,,,,,,,,
23206,OGLE-LMC-CEP-3024,LMC,DCEP,8.5588051,5 43 5.96,-69 29 26.50,,,15.136,,14.236,,,,,,,,,,,,,
23205,OGLE-LMC-CEP-3023,LMC,DCEP,0.3981143,5 43 2.81,-70 22 48.80,,,18.71,,17.934,,,,,,,,,,,,,
23204,OGLE-LMC-CEP-3022,LMC,DCEP,2.6142855,5 43 2.80,-71 6 18.90,,,16.645,,15.777,,,,,,,,,,,,,
23203,OGLE-LMC-CEP-3021,LMC,DCEP,3.2338202,5 43 0.92,-68 0 42.20,,,16.113,,15.378,,,,,,,,,,,,,
23202,OGLE-LMC-CEP-3020,LMC,DCEP,0.6863111,5 42 58.21,-72 20 31.90,,,17.561,,16.934,,,,,,,,,,,,,
23201,OGLE-LMC-CEP-3018,LMC,DCEP,5.7629723,5 42 56.12,-71 4 43.40,,,15.857,,14.858,,,,,,,,,,,,,
23200,OGLE-LMC-CEP-3017,LMC,DCEP,4.6308851,5 42 55.26,-69 55 50.90,,,15.505,,14.789,,,,,,,,,,,,,
23199,OGLE-LMC-CEP-3016,LMC,DCEP,1.839786,5 42 53.99,-69 44 1.30,,,17.115,,16.16,,,,,,,,,,,,,
23198,OGLE-LMC-CEP-3015,LMC,DCEP,1.0809982,5 42 53.72,-71 8 31.00,,,17.246,,16.462,,,,,,,,,,,,,
23197,OGLE-LMC-CEP-3011,LMC,DCEP,2.5055971,5 42 49.92,-68 0 35.40,,,16.12,,15.503,,,,,,,,,,,,,
23196,OGLE-LMC-CEP-3007,LMC,DCEP,1.3173454,5 42 48.01,-71 17 30.70,,,16.819,,16.023,,,,,,,,,,,,,
23250,OGLE-LMC-CEP-3091,LMC,DCEP,13.6416603,5 44 51.78,-68 28 33.70,,,14.697,,13.711,,,,,,,,,,,,,
23252,OGLE-LMC-CEP-3093,LMC,DCEP,3.7494001,5 44 56.81,-69 38 33.40,,,15.795,,14.864,,,,,,,,,,,,,
23893,OGLE-LMC-CEP-3514,LMC,DCEP,1.811986,5 1 6.00,-65 8 38.30,,,16.776,,16.099,,,,,,,,,,,,,
23308,OGLE-LMC-CEP-3184,LMC,DCEP,2.0942593,5 47 26.82,-69 5 25.40,,,16.174,,15.421,,,,,,,,,,,,,
23306,OGLE-LMC-CEP-3180,LMC,DCEP,0.7416013,5 47 22.38,-70 10 53.40,,,17.902,,17.082,,,,,,,,,,,,,
23305,OGLE-LMC-CEP-3179,LMC,DCEP,1.0932151,5 47 22.05,-69 48 49.30,,,17.559,,16.629,,,,,,,,,,,,,
23304,OGLE-LMC-CEP-3178,LMC,DCEP,1.1793775,5 47 21.02,-69 4 1.30,,,16.941,,16.258,,,,,,,,,,,,,
23303,OGLE-LMC-CEP-3174,LMC,DCEP,2.8136973,5 47 11.57,-72 10 17.40,,,15.563,,14.901,,,,,,,,,,,,,
23302,OGLE-LMC-CEP-3173,LMC,DCEP,2.9180304,5 47 9.81,-69 27 20.50,,,16.891,,15.849,,,,,,,,,,,,,
23301,OGLE-LMC-CEP-3172,LMC,DCEP,0.8715046,5 47 3.41,-69 5 34.20,,,17.218,,16.584,,,,,,,,,,,,,
23300,OGLE-LMC-CEP-3170,LMC,DCEP,1.8881912,5 47 0.66,-71 32 56.60,,,16.293,,15.552,,,,,,,,,,,,,
23299,OGLE-LMC-CEP-3168,LMC,DCEP,5.6378554,5 46 48.88,-70 9 44.70,,,15.749,,14.826,,,,,,,,,,,,,
23298,OGLE-LMC-CEP-3167,LMC,DCEP,1.602656,5 46 48.28,-69 11 50.90,,,17.595,,16.709,,,,,,,,,,,,,
23297,OGLE-LMC-CEP-3166,LMC,DCEP,2.224371,5 46 47.23,-69 30 24.60,,,16.383,,15.496,,,,,,,,,,,,,
23296,OGLE-LMC-CEP-3163,LMC,DCEP,11.8363184,5 46 43.21,-67 48 19.00,,,14.631,,13.712,,,,,,,,,,,,,
23295,OGLE-LMC-CEP-3162,LMC,DCEP,2.5658681,5 46 40.99,-68 0 28.50,,,15.541,,14.908,,,,,,,,,,,,,
23294,OGLE-LMC-CEP-3161,LMC,DCEP,3.2209721,5 46 40.07,-69 45 42.90,,,16.793,,15.815,,,,,,,,,,,,,
23293,OGLE-LMC-CEP-3158,LMC,DCEP,26.5603967,5 46 36.18,-68 11 3.40,,,13.662,,12.678,,,,,,,,,,,,,
23292,OGLE-LMC-CEP-3157,LMC,DCEP,3.2967861,5 46 35.68,-69 7 4.30,,,16.035,,15.294,,,,,,,,,,,,,
23307,OGLE-LMC-CEP-3182,LMC,DCEP,3.2800919,5 47 25.01,-69 23 21.90,,,17.18,,16.013,,,,,,,,,,,,,
23309,OGLE-LMC-CEP-3187,LMC,DCEP,2.5089326,5 47 29.81,-68 25 4.10,,,16.599,,15.812,,,,,,,,,,,,,
23290,OGLE-LMC-CEP-3155,LMC,DCEP,1.7988036,5 46 33.14,-68 25 49.00,,,17.215,,16.399,,,,,,,,,,,,,
23310,OGLE-LMC-CEP-3188,LMC,DCEP,2.161072,5 47 31.44,-68 47 26.60,,,16.127,,15.408,,,,,,,,,,,,,
23325,OGLE-LMC-CEP-3207,LMC,DCEP,2.5300743,5 48 14.87,-70 12 27.50,,,16.258,,15.58,,,,,,,,,,,,,
23324,OGLE-LMC-CEP-3206,LMC,DCEP,2.5040635,5 48 12.77,-70 42 53.20,,,16.349,,15.66,,,,,,,,,,,,,
23323,OGLE-LMC-CEP-3205,LMC,DCEP,1.6184214,5 48 11.54,-69 8 45.20,,,16.332,,15.648,,,,,,,,,,,,,
23322,OGLE-LMC-CEP-3204,LMC,DCEP,3.2580574,5 48 7.43,-70 25 18.00,,,16.097,,15.307,,,,,,,,,,,,,
23321,OGLE-LMC-CEP-3203,LMC,DCEP,13.4000333,5 48 6.94,-71 30 21.40,,,14.188,,13.382,,,,,,,,,,,,,
23320,OGLE-LMC-CEP-3202,LMC,DCEP,5.1403556,5 48 3.32,-70 35 9.90,,,16.165,,15.095,,,,,,,,,,,,,
23319,OGLE-LMC-CEP-3201,LMC,DCEP,6.2981121,5 48 3.17,-70 43 4.30,,,14.9,,14.186,,,,,,,,,,,,,
23318,OGLE-LMC-CEP-3200,LMC,DCEP,2.9101747,5 47 53.63,-70 52 39.90,,,16.333,,15.567,,,,,,,,,,,,,
23317,OGLE-LMC-CEP-3199,LMC,DCEP,0.532135,5 47 53.42,-70 38 38.20,,,17.877,,17.26,,,,,,,,,,,,,
23316,OGLE-LMC-CEP-3198,LMC,DCEP,4.0714025,5 47 46.55,-68 43 24.50,,,16.046,,15.168,,,,,,,,,,,,,
23315,OGLE-LMC-CEP-3197,LMC,DCEP,2.9242087,5 47 45.73,-70 41 21.00,,,16.21,,15.496,,,,,,,,,,,,,
23314,OGLE-LMC-CEP-3196,LMC,DCEP,2.8097138,5 47 44.62,-70 29 3.10,,,15.509,,14.868,,,,,,,,,,,,,
23313,OGLE-LMC-CEP-3192,LMC,DCEP,2.5900654,5 47 34.59,-70 5 11.70,,,16.501,,15.674,,,,,,,,,,,,,
23312,OGLE-LMC-CEP-3190,LMC,DCEP,1.7729887,5 47 32.61,-70 9 34.30,,,18.168,,16.948,,,,,,,,,,,,,
23311,OGLE-LMC-CEP-3189,LMC,DCEP,4.3907059,5 47 32.14,-68 55 37.90,,,15.425,,14.599,,,,,,,,,,,,,
23291,OGLE-LMC-CEP-3156,LMC,DCEP,4.3249073,5 46 35.36,-69 49 40.20,,,15.821,,15.048,,,,,,,,,,,,,
23289,OGLE-LMC-CEP-3154,LMC,DCEP,3.9093479,5 46 31.69,-67 46 45.60,,,15.897,,15.107,,,,,,,,,,,,,
23253,OGLE-LMC-CEP-3094,LMC,DCEP,3.7614217,5 44 58.26,-68 3 28.70,,,15.168,,14.494,,,,,,,,,,,,,
23270,OGLE-LMC-CEP-3123,LMC,DCEP,1.3362551,5 45 45.96,-69 0 20.10,,,16.569,,15.902,,,,,,,,,,,,,
23268,OGLE-LMC-CEP-3120,LMC,DCEP,3.1292228,5 45 43.28,-69 29 14.50,,,16.425,,15.55,,,,,,,,,,,,,
23267,OGLE-LMC-CEP-3119,LMC,DCEP,0.5979036,5 45 42.51,-67 53 23.40,,,17.361,,16.825,,,,,,,,,,,,,
23266,OGLE-LMC-CEP-3117,LMC,DCEP,2.8459567,5 45 41.13,-69 55 53.00,,,16.415,,15.59,,,,,,,,,,,,,
23265,OGLE-LMC-CEP-3115,LMC,DCEP,1.2383876,5 45 39.57,-71 23 15.40,,,16.66,,16.056,,,,,,,,,,,,,
23264,OGLE-LMC-CEP-3114,LMC,DCEP,0.3304467,5 45 36.11,-70 7 24.30,,,19.278,,18.392,,,,,,,,,,,,,
23263,OGLE-LMC-CEP-3112,LMC,DCEP,1.7773859,5 45 34.51,-67 58 0.60,,,15.924,,15.35,,,,,,,,,,,,,
23262,OGLE-LMC-CEP-3111,LMC,DCEP,1.3897256,5 45 32.68,-72 22 9.90,,,16.656,,15.985,,,,,,,,,,,,,
23261,OGLE-LMC-CEP-3110,LMC,DCEP,2.3321802,5 45 32.02,-67 46 56.60,,,16.157,,15.53,,,,,,,,,,,,,
23260,OGLE-LMC-CEP-3108,LMC,DCEP,0.9600704,5 45 28.11,-69 17 12.40,,,17.459,,16.734,,,,,,,,,,,,,
23259,OGLE-LMC-CEP-3104,LMC,DCEP,4.1653867,5 45 21.02,-68 18 10.20,,,16.031,,15.171,,,,,,,,,,,,,
23258,OGLE-LMC-CEP-3103,LMC,DCEP,2.1895909,5 45 20.74,-69 39 5.50,,,16.992,,15.983,,,,,,,,,,,,,
23257,OGLE-LMC-CEP-3102,LMC,DCEP,2.6862969,5 45 18.33,-70 11 29.30,,,15.668,,15.002,,,,,,,,,,,,,
23256,OGLE-LMC-CEP-3100,LMC,DCEP,2.3294623,5 45 8.49,-69 39 1.20,,,17.344,,16.368,,,,,,,,,,,,,
23255,OGLE-LMC-CEP-3099,LMC,DCEP,1.5709735,5 45 7.87,-71 58 49.00,,,16.944,,16.296,,,,,,,,,,,,,
23254,OGLE-LMC-CEP-3097,LMC,DCEP,3.629617,5 45 1.75,-69 29 32.20,,,16.076,,15.013,,,,,,,,,,,,,
23269,OGLE-LMC-CEP-3122,LMC,DCEP,2.7079591,5 45 45.28,-67 54 34.30,,,15.963,,15.351,,,,,,,,,,,,,
23271,OGLE-LMC-CEP-3124,LMC,DCEP,3.1890153,5 45 53.38,-69 11 49.10,,,16.685,,15.746,,,,,,,,,,,,,
23288,OGLE-LMC-CEP-3152,LMC,DCEP,2.1485989,5 46 30.61,-69 29 46.20,,,16.586,,15.645,,,,,,,,,,,,,
23272,OGLE-LMC-CEP-3128,LMC,DCEP,4.2226468,5 45 58.71,-69 29 58.40,,,16.404,,15.354,,,,,,,,,,,,,
23287,OGLE-LMC-CEP-3150,LMC,DCEP,4.4911912,5 46 26.23,-68 37 44.20,,,15.821,,14.977,,,,,,,,,,,,,
23286,OGLE-LMC-CEP-3148,LMC,DCEP,3.215967,5 46 23.84,-71 43 58.10,,,16.233,,15.444,,,,,,,,,,,,,
23285,OGLE-LMC-CEP-3147,LMC,DCEP,4.0187287,5 46 22.37,-69 1 40.80,,,16.783,,15.674,,,,,,,,,,,,,
23284,OGLE-LMC-CEP-3146,LMC,DCEP,3.7867469,5 46 22.25,-69 55 20.10,,,16.204,,15.35,,,,,,,,,,,,,
23283,OGLE-LMC-CEP-3144,LMC,DCEP,2.8754449,5 46 20.25,-68 14 47.60,,,16.497,,15.658,,,,,,,,,,,,,
23282,OGLE-LMC-CEP-3142,LMC,DCEP,1.857898,5 46 16.59,-71 17 29.30,,,16.433,,15.653,,,,,,,,,,,,,
23281,OGLE-LMC-CEP-3140,LMC,DCEP,3.2930714,5 46 14.18,-69 4 23.00,,,16.317,,15.491,,,,,,,,,,,,,
23280,OGLE-LMC-CEP-3139,LMC,DCEP,1.202916,5 46 13.62,-72 3 13.50,,,16.862,,16.217,,,,,,,,,,,,,
23279,OGLE-LMC-CEP-3138,LMC,DCEP,1.7509481,5 46 12.80,-70 16 0.50,,,17.285,,16.507,,,,,,,,,,,,,
23278,OGLE-LMC-CEP-3136,LMC,DCEP,1.6503713,5 46 10.59,-69 16 52.60,,,16.907,,16.07,,,,,,,,,,,,,
23277,OGLE-LMC-CEP-3135,LMC,DCEP,1.6178469,5 46 8.41,-67 51 13.80,,,16.52,,15.81,,,,,,,,,,,,,
23276,OGLE-LMC-CEP-3134,LMC,DCEP,3.0978725,5 46 6.69,-70 6 2.40,,,16.22,,15.417,,,,,,,,,,,,,
23275,OGLE-LMC-CEP-3133,LMC,DCEP,4.8326179,5 46 6.56,-70 11 49.00,,,15.532,,14.733,,,,,,,,,,,,,
23274,OGLE-LMC-CEP-3132,LMC,DCEP,2.9030772,5 46 4.17,-70 3 35.90,,,15.468,,14.808,,,,,,,,,,,,,
23273,OGLE-LMC-CEP-3130,LMC,DCEP,0.369556,5 46 1.84,-69 16 44.40,,,18.798,,18.094,,,,,,,,,,,,,
23176,OGLE-LMC-CEP-2971,LMC,DCEP,4.8337787,5 42 10.71,-68 1 15.60,,,15.484,,14.72,,,,,,,,,,,,,
23175,OGLE-LMC-CEP-2970,LMC,DCEP,1.2205505,5 42 9.17,-71 22 12.80,,,16.933,,16.227,,,,,,,,,,,,,
23174,OGLE-LMC-CEP-2969,LMC,DCEP,4.080749,5 42 9.16,-69 12 28.60,,,16.246,,15.34,,,,,,,,,,,,,
23080,OGLE-LMC-CEP-2727,LMC,DCEP,3.0106771,5 38 31.01,-69 29 28.70,,,17.108,,16.09,,,,,,,,,,,,,
23078,OGLE-LMC-CEP-2718,LMC,DCEP,3.4524956,5 38 19.63,-69 9 19.30,,,17.367,,16.176,,,,,,,,,,,,,
23077,OGLE-LMC-CEP-2715,LMC,DCEP,5.2021228,5 38 18.87,-68 5 5.50,,,15.064,,14.42,,,,,,,,,,,,,
23076,OGLE-LMC-CEP-2710,LMC,DCEP,3.0973444,5 38 16.68,-69 43 12.40,,,16.355,,15.529,,,,,,,,,,,,,
23075,OGLE-LMC-CEP-2709,LMC,DCEP,2.0623033,5 38 14.94,-67 45 39.90,,,15.663,,15.088,,,,,,,,,,,,,
23074,OGLE-LMC-CEP-2706,LMC,DCEP,0.9691889,5 38 12.97,-69 52 39.20,,,17.797,,16.833,,,,,,,,,,,,,
23073,OGLE-LMC-CEP-2705,LMC,DCEP,0.2645376,5 38 11.70,-70 42 45.60,,,17.528,,17.211,,,,,,,,,,,,,
23072,OGLE-LMC-CEP-2704,LMC,DCEP,2.0615215,5 38 10.78,-71 24 25.20,,,16.648,,15.919,,,,,,,,,,,,,
23071,OGLE-LMC-CEP-2702,LMC,DCEP,3.0708515,5 38 9.47,-69 43 36.80,,,16.573,,15.668,,,,,,,,,,,,,
23070,OGLE-LMC-CEP-2700,LMC,DCEP,2.9990886,5 38 7.77,-69 9 6.50,,,17.747,,16.425,,,,,,,,,,,,,
23069,OGLE-LMC-CEP-2698,LMC,DCEP,1.8163107,5 38 5.83,-71 4 15.20,,,16.291,,15.572,,,,,,,,,,,,,
23068,OGLE-LMC-CEP-2692,LMC,DCEP,1.200558,5 38 0.03,-69 16 54.40,,,17.884,,16.765,,,,,,,,,,,,,
23067,OGLE-LMC-CEP-2688,LMC,DCEP,2.9475013,5 37 53.22,-69 12 28.10,,,17.458,,16.204,,,,,,,,,,,,,
23066,OGLE-LMC-CEP-2681,LMC,DCEP,5.507876,5 37 47.90,-70 50 7.20,,,15.464,,14.701,,,,,,,,,,,,,
23065,OGLE-LMC-CEP-2678,LMC,DCEP,0.7377995,5 37 47.04,-70 51 43.20,,,17.23,,16.642,,,,,,,,,,,,,
23064,OGLE-LMC-CEP-2677,LMC,DCEP,1.9289634,5 37 44.52,-69 14 44.60,,,17.138,,16.04,,,,,,,,,,,,,
23079,OGLE-LMC-CEP-2722,LMC,DCEP,4.2695542,5 38 25.35,-68 39 26.90,,,16.13,,15.231,,,,,,,,,,,,,
23081,OGLE-LMC-CEP-2728,LMC,DCEP,2.8841225,5 38 31.22,-68 3 44.00,,,15.969,,15.346,,,,,,,,,,,,,
23062,OGLE-LMC-CEP-2670,LMC,DCEP,0.6688726,5 37 40.44,-68 50 42.20,,,17.985,,17.22,,,,,,,,,,,,,
23082,OGLE-LMC-CEP-2733,LMC,DCEP,2.4564447,5 38 34.99,-68 18 3.90,,,16.295,,15.629,,,,,,,,,,,,,
23097,OGLE-LMC-CEP-2787,LMC,DCEP,3.3963795,5 39 18.94,-71 11 25.70,,,15.43,,14.728,,,,,,,,,,,,,
23096,OGLE-LMC-CEP-2786,LMC,DCEP,2.3332979,5 39 17.86,-68 22 43.00,,,15.556,,15.012,,,,,,,,,,,,,
23095,OGLE-LMC-CEP-2784,LMC,DCEP,3.2242953,5 39 16.91,-70 53 50.00,,,16.105,,15.349,,,,,,,,,,,,,
23094,OGLE-LMC-CEP-2780,LMC,DCEP,23.1107003,5 39 15.16,-69 19 39.20,,,14.628,,13.395,,,,,,,,,,,,,
23093,OGLE-LMC-CEP-2778,LMC,DCEP,2.1509373,5 39 13.44,-70 9 37.90,,,16.733,,15.713,,,,,,,,,,,,,
23092,OGLE-LMC-CEP-2777,LMC,DCEP,3.2185904,5 39 12.63,-70 32 56.50,,,16.336,,15.485,,,,,,,,,,,,,
23091,OGLE-LMC-CEP-2776,LMC,DCEP,0.9357873,5 39 11.75,-71 13 35.70,,,17.116,,16.47,,,,,,,,,,,,,
23090,OGLE-LMC-CEP-2773,LMC,DCEP,3.514661,5 39 5.89,-69 7 34.90,,,17.136,,15.96,,,,,,,,,,,,,
23089,OGLE-LMC-CEP-2763,LMC,DCEP,4.0138566,5 38 55.18,-70 46 21.30,,,15.621,,14.902,,,,,,,,,,,,,
23088,OGLE-LMC-CEP-2760,LMC,DCEP,4.358595,5 38 54.12,-69 42 52.00,,,17.605,,16.218,,,,,,,,,,,,,
23087,OGLE-LMC-CEP-2759,LMC,DCEP,0.3574676,5 38 52.99,-68 17 35.90,,,18.541,,17.923,,,,,,,,,,,,,
23086,OGLE-LMC-CEP-2754,LMC,DCEP,1.2542304,5 38 50.48,-71 51 16.40,,,16.223,,15.927,,,,,,,,,,,,,
