id,name,galaxy,type,period,ra,dec,magU,magB,magV,magR,magI,magJ,magH,magK,magu,magg,magr,magi,magz,magG,magW1,magW2,magW3,magW4
22334,OGLE-LMC-CEP-1099,LMC,DCEP,0.6530227,5 9 3.22,-71 4 38.50,,,17.446,,16.931,,,,,,,,,,,,,
22333,OGLE-LMC-CEP-1098,LMC,DCEP,1.9797777,5 8 58.64,-68 58 17.20,,,16.282,,15.549,,,,,,,,,,,,,
22351,OGLE-LMC-CEP-1126,LMC,DCEP,1.9069542,5 9 30.31,-66 44 14.70,,,15.862,,15.329,,,,,,,,,,,,,
22352,OGLE-LMC-CEP-1127,LMC,DCEP,4.4516006,5 9 33.81,-70 42 39.40,,,15.821,,15.021,,,,,,,,,,,,,
22353,OGLE-LMC-CEP-1128,LMC,DCEP,6.8625998,5 9 36.96,-68 2 43.60,,,15.035,,14.272,,,,,,,,,,,,,
22354,OGLE-LMC-CEP-1129,LMC,DCEP,5.8299557,5 9 37.54,-70 17 31.00,,,15.52,,14.786,,,,,,,,,,,,,
22372,OGLE-LMC-CEP-1162,LMC,DCEP,1.9051903,5 10 29.41,-70 27 34.20,,,15.857,,15.275,,,,,,,,,,,,,
22371,OGLE-LMC-CEP-1161,LMC,DCEP,2.970262,5 10 28.46,-69 53 16.50,,,16.249,,15.503,,,,,,,,,,,,,
22370,OGLE-LMC-CEP-1158,LMC,DCEP,2.4662637,5 10 23.64,-67 52 3.30,,,15.752,,15.083,,,,,,,,,,,,,
22369,OGLE-LMC-CEP-1157,LMC,DCEP,0.9520955,5 10 23.20,-67 58 22.70,,,17.23,,16.553,,,,,,,,,,,,,
22368,OGLE-LMC-CEP-1156,LMC,DCEP,4.5099113,5 10 22.45,-67 8 46.00,,,16.137,,15.281,,,,,,,,,,,,,
22367,OGLE-LMC-CEP-1155,LMC,DCEP,0.7786211,5 10 21.76,-70 46 40.60,,,17.095,,16.555,,,,,,,,,,,,,
22365,OGLE-LMC-CEP-1153,LMC,DCEP,1.6291578,5 10 18.74,-70 5 1.30,,,16.467,,15.791,,,,,,,,,,,,,
22364,OGLE-LMC-CEP-1151,LMC,DCEP,1.0843365,5 10 15.38,-68 20 27.30,,,16.826,,16.231,,,,,,,,,,,,,
22363,OGLE-LMC-CEP-1150,LMC,DCEP,3.5187522,5 10 13.40,-66 35 0.70,,,15.962,,15.219,,,,,,,,,,,,,
22362,OGLE-LMC-CEP-1149,LMC,DCEP,2.5244297,5 10 12.01,-68 10 13.90,,,16.448,,15.697,,,,,,,,,,,,,
22361,OGLE-LMC-CEP-1142,LMC,DCEP,4.4301912,5 10 0.53,-66 41 56.10,,,15.712,,14.954,,,,,,,,,,,,,
22360,OGLE-LMC-CEP-1136,LMC,DCEP,3.0438303,5 9 50.14,-68 31 17.90,,,15.953,,15.28,,,,,,,,,,,,,
22359,OGLE-LMC-CEP-1134,LMC,DCEP,3.0900307,5 9 47.91,-66 35 46.10,,,15.192,,14.577,,,,,,,,,,,,,
22358,OGLE-LMC-CEP-1133,LMC,DCEP,1.7198242,5 9 47.71,-68 56 44.00,,,16.062,,15.447,,,,,,,,,,,,,
22357,OGLE-LMC-CEP-1132,LMC,DCEP,1.0563698,5 9 44.97,-67 36 23.70,,,16.828,,16.203,,,,,,,,,,,,,
22356,OGLE-LMC-CEP-1131,LMC,DCEP,1.4907227,5 9 43.08,-68 36 59.30,,,16.565,,15.89,,,,,,,,,,,,,
22355,OGLE-LMC-CEP-1130,LMC,DCEP,1.8655813,5 9 38.29,-70 14 13.30,,,16.4,,15.62,,,,,,,,,,,,,
22244,OGLE-LMC-CEP-0966,LMC,DCEP,47.3846291,5 6 47.97,-70 2 13.40,,,12.76,,11.817,,,,,,,,,,,,,
22243,OGLE-LMC-CEP-0964,LMC,DCEP,2.7935481,5 6 41.50,-67 13 56.20,,,16.002,,15.384,,,,,,,,,,,,,
22242,OGLE-LMC-CEP-0962,LMC,DCEP,3.9275982,5 6 39.57,-70 43 22.50,,,15.228,,14.995,,,,,,,,,,,,,
22123,OGLE-LMC-CEP-0781,LMC,DCEP,0.6271918,5 3 3.64,-68 28 51.00,,,17.887,,17.196,,,,,,,,,,,,,
22131,OGLE-LMC-CEP-0792,LMC,DCEP,1.9886419,5 3 13.78,-66 47 30.60,,,15.837,,15.261,,,,,,,,,,,,,
22130,OGLE-LMC-CEP-0791,LMC,DCEP,2.808369,5 3 13.34,-68 16 47.00,,,16.193,,15.516,,,,,,,,,,,,,
22129,OGLE-LMC-CEP-0790,LMC,DCEP,1.4924722,5 3 11.34,-67 6 14.50,,,17.026,,16.349,,,,,,,,,,,,,
22128,OGLE-LMC-CEP-0788,LMC,DCEP,3.0045369,5 3 9.93,-67 34 42.30,,,16.033,,15.368,,,,,,,,,,,,,
22127,OGLE-LMC-CEP-0786,LMC,DCEP,0.6843148,5 3 7.64,-69 49 33.40,,,17.742,,17.036,,,,,,,,,,,,,
22126,OGLE-LMC-CEP-0785,LMC,DCEP,3.5669132,5 3 6.79,-69 59 33.60,,,16.016,,15.273,,,,,,,,,,,,,
22125,OGLE-LMC-CEP-0783,LMC,DCEP,3.3859171,5 3 6.22,-68 21 37.40,,,16.104,,15.358,,,,,,,,,,,,,
22124,OGLE-LMC-CEP-0782,LMC,DCEP,1.1350894,5 3 5.48,-68 1 24.10,,,16.554,,16.023,,,,,,,,,,,,,
22122,OGLE-LMC-CEP-0780,LMC,DCEP,3.8269256,5 3 3.42,-66 43 39.50,,,15.699,,14.993,,,,,,,,,,,,,
22133,OGLE-LMC-CEP-0794,LMC,DCEP,2.811779,5 3 16.15,-70 28 58.90,,,15.956,,15.322,,,,,,,,,,,,,
22121,OGLE-LMC-CEP-0777,LMC,DCEP,2.9979476,5 2 59.75,-67 11 5.70,,,15.991,,15.315,,,,,,,,,,,,,
22120,OGLE-LMC-CEP-0775,LMC,DCEP,1.8634008,5 2 54.59,-67 4 0.70,,,16.137,,15.481,,,,,,,,,,,,,
22119,OGLE-LMC-CEP-0774,LMC,DCEP,3.1233001,5 2 54.09,-70 37 35.40,,,15.459,,14.793,,,,,,,,,,,,,
22118,OGLE-LMC-CEP-0773,LMC,DCEP,4.1847931,5 2 53.84,-68 6 25.30,,,15.82,,15.041,,,,,,,,,,,,,
22117,OGLE-LMC-CEP-0769,LMC,DCEP,1.2612909,5 2 50.86,-66 50 35.50,,,16.553,,15.998,,,,,,,,,,,,,
